,none,C > SMA(50),"C > SMA(50), 3d",C > EMA(120),"C > EMA(120), 3d"
2023-10-18 00:00:00+00:00,521.3247174934073,1531.336309638835,1329.4155660356541,939.575940915522,989.5263027390068
2023-10-19 00:00:00+00:00,520.3750741327991,1528.819344217666,1327.221293533099,939.575940915522,989.5263027390068
2023-10-20 00:00:00+00:00,499.1302962554741,1472.23773389517,1277.8223081390079,939.575940915522,989.5263027390068
2023-10-21 00:00:00+00:00,461.7946697735051,1373.5388551466335,1191.6525359829543,939.575940915522,989.5263027390068
2023-10-22 00:00:00+00:00,461.7946697735051,1373.5388551466335,1191.6525359829543,883.9171148690186,989.5263027390068
2023-10-23 00:00:00+00:00,442.8729859141005,1315.3694962912148,1140.187085659351,845.6734655996779,989.5263027390068
2023-10-24 00:00:00+00:00,442.8729859141005,1315.3694962912148,1140.187085659351,845.6734655996779,991.1227856807384
2023-10-25 00:00:00+00:00,442.8729859141005,1315.3694962912148,1140.187085659351,845.6129356279483,1010.4404761328229
2023-10-26 00:00:00+00:00,453.3833662632337,1343.6174276478064,1164.7383082601539,848.4835605692477,1029.97203896469
2023-10-27 00:00:00+00:00,453.3833662632337,1343.6174276478064,1164.7383082601539,848.4835605692477,1059.9968038129134
2023-10-28 00:00:00+00:00,456.67374557807767,1352.2937414731105,1172.2941742274961,857.8069910891294,1065.571339271737
2023-10-29 00:00:00+00:00,468.3222688832984,1382.6851528679206,1198.9185769337553,857.5589769654774,1065.5235665517098
2023-10-30 00:00:00+00:00,466.420679093934,1377.8392921736934,1194.630165070722,856.7018634416064,1057.4874948596403
2023-10-31 00:00:00+00:00,468.24179810588316,1382.5914117149316,1198.7888699300304,879.935727795611,1058.1274490812343
2023-11-01 00:00:00+00:00,475.226702932417,1400.9360681033752,1214.8290384204745,893.1603014592605,1066.230241810423
2023-11-02 00:00:00+00:00,475.226702932417,1400.9360681033752,1214.8290384204745,893.1603014592605,1066.230241810423
2023-11-03 00:00:00+00:00,475.226702932417,1400.9360681033752,1214.8290384204745,893.1603014592605,1066.230241810423
2023-11-04 00:00:00+00:00,473.2749191852957,1395.8139679517792,1210.3548696652526,897.8691180591259,1072.2220139976557
2023-11-05 00:00:00+00:00,478.82259998942993,1410.1731288355065,1222.9770206105793,903.1526640685694,1082.1417527814058
2023-11-06 00:00:00+00:00,482.65110668672787,1420.1006667405663,1231.6930489998304,915.8296096963594,1100.3980047456057
2023-11-07 00:00:00+00:00,503.7585467923086,1474.9702644414635,1279.8220574600361,972.425269141192,1178.7738805317463
2023-11-08 00:00:00+00:00,504.73449458594644,1477.4883337120077,1282.038535379849,973.4135718058778,1193.3261516226955
2023-11-09 00:00:00+00:00,504.73449458594644,1477.4883337120077,1282.038535379849,973.4135718058778,1193.3261516226955
2023-11-10 00:00:00+00:00,504.73449458594644,1477.4883337120077,1282.038535379849,973.4135718058778,1193.3261516226955
