date,equity,cash,reserved,invested,open_positions,open_orders,mode,daily_return,peak,drawdown
2024-12-06 00:00:00+00:00,581947.7060464235,154675.50466961428,154675.50466961425,427272.2013768093,36,16,positive_momentum_correction,0.035849934165902875,1357504.438206722,-0.5713106420372498
2024-12-07 00:00:00+00:00,581425.6798072604,376566.7822114621,376566.78221146204,204858.89759579825,16,32,positive_momentum_correction,-0.0008970329013058276,1357504.438206722,-0.5716951904957821
2024-12-08 00:00:00+00:00,583548.9340440966,492010.14658477984,492010.14658477984,91538.78745931677,9,38,positive_momentum_correction,0.0036518067752702166,1357504.438206722,-0.5701311040905538
2024-12-09 00:00:00+00:00,524966.2415952196,-1.8189894035458565e-10,-1.7826096154749393e-10,524966.2415952198,47,0,positive_momentum_correction,-0.1003903683670343,1357504.438206722,-0.6132858009004334
2024-12-10 00:00:00+00:00,519542.8294717107,61043.11700965327,61043.117009653266,458499.7124620574,42,5,positive_momentum_correction,-0.010330973106058572,1357504.438206722,-0.617280934891062
2024-12-11 00:00:00+00:00,558986.1514305825,35587.1583339031,35587.15833390309,523398.99309667945,43,4,positive_momentum_correction,0.07591928850019758,1357504.438206722,-0.5882251757725306
2024-12-12 00:00:00+00:00,563660.0480348397,35587.1583339031,35587.15833390309,528072.8897009366,43,4,positive_momentum_correction,0.008361381748537955,1357504.438206722,-0.5847821692727276
2024-12-13 00:00:00+00:00,568634.0085687295,52500.176175385364,52500.176175385364,516133.83239334414,39,8,positive_momentum_correction,0.008824397881721735,1357504.438206722,-0.5811181219268048
2024-12-14 00:00:00+00:00,568396.950266058,514576.3824010137,514576.38240101375,53820.567865044286,4,32,positive_momentum_correction,-0.00041689082801821264,1357504.438206722,-0.5812927499397965
2024-12-15 00:00:00+00:00,568447.6830796329,509455.8717878652,509455.8717878652,58991.811291767786,5,36,positive_momentum_correction,8.925595668873854e-05,1357504.438206722,-0.5812553778236199
2024-12-16 00:00:00+00:00,567802.2206721059,522196.45299930975,522196.4529993097,45605.76767279621,6,34,positive_momentum_correction,-0.001135482519745934,1357504.438206722,-0.5817308550223388
2024-12-17 00:00:00+00:00,566355.4097648188,480175.1074279492,480175.1074279492,86180.3023368696,13,23,positive_momentum_correction,-0.0025480895540959114,1357504.438206722,-0.582796642261457
2024-12-18 00:00:00+00:00,550158.7293652397,50934.442028255624,50934.442028255704,499224.2873369841,34,2,positive_momentum_correction,-0.02859808544303455,1357504.438206722,-0.5947278595331849
2024-12-19 00:00:00+00:00,510501.85269871133,72029.12265914047,72029.12265914047,438472.73003957083,31,3,positive_momentum_correction,-0.07208260916314746,1357504.438206722,-0.6239409328391664
2024-12-20 00:00:00+00:00,540756.2895451802,3652.794065424976,3652.7940654249396,537103.4954797552,33,1,positive_momentum_correction,0.05926410783140579,1357504.438206722,-0.6016541277319689
2024-12-21 00:00:00+00:00,506916.94217949605,17706.799253866553,17706.799253866542,489210.1429256295,31,1,positive_momentum_correction,-0.06257781558887787,1357504.438206722,-0.6265817422673485
2024-12-22 00:00:00+00:00,513151.38754325523,51136.3364567345,17706.799253866542,462015.0510865207,24,1,positive_momentum_correction,0.012298751225307436,1357504.438206722,-0.6219891640125068
2024-12-23 00:00:00+00:00,520030.77501022455,440584.41020852735,277722.1867589789,79446.3648016972,3,6,positive_momentum_correction,0.013406155832306865,1357504.438206722,-0.616921491838958
2024-12-24 00:00:00+00:00,526066.6017242494,440584.41020852735,313225.63034893957,85482.19151572205,3,6,positive_momentum_correction,0.011606672151097674,1357504.438206722,-0.6124752251866012
2024-12-25 00:00:00+00:00,525939.91810143,525939.91810143,471007.60577936855,0.0,0,9,positive_momentum_correction,-0.0002408128978425017,1357504.438206722,-0.6125685461506097
2024-12-26 00:00:00+00:00,517563.70217090345,107526.30413220412,52593.991810142674,410037.3980386993,8,1,positive_momentum_correction,-0.015926184041636482,1357504.438206722,-0.618738850788134
2024-12-27 00:00:00+00:00,503804.34074198705,54932.31232206111,-3.346940502524376e-10,448872.02841992595,9,0,positive_momentum_correction,-0.026584865536750768,1357504.438206722,-0.6288746271743184
2024-12-28 00:00:00+00:00,515632.3830491121,54932.31232206111,-3.346940502524376e-10,460700.070727051,9,0,positive_momentum_correction,0.023477452158719103,1357504.438206722,-0.6201615489889167
2024-12-29 00:00:00+00:00,498040.8437765019,54932.31232206111,54932.3123220611,443108.5314544408,9,2,positive_momentum_correction,-0.03411643614891946,1357504.438206722,-0.6331202832497409
2024-12-30 00:00:00+00:00,493815.01378758927,54932.31232206111,54932.3123220611,438882.70146552817,9,2,positive_momentum_correction,-0.008484906492546629,1357504.438206722,-0.6362332233403787
2024-12-31 00:00:00+00:00,488566.4990201079,422335.39656154934,48856.64990201046,66231.10245855854,2,1,positive_momentum_correction,-0.010628503834310243,1357504.438206722,-0.6400995199209002
2025-01-01 00:00:00+00:00,490904.03575040796,461224.5785082504,196361.61430016288,29679.457242157543,1,4,positive_momentum_correction,0.0047844801782117585,1357504.438206722,-0.6383775832078329
2025-01-02 00:00:00+00:00,491774.34650467057,461224.5785082504,147445.2728759746,30549.767996420152,1,3,positive_momentum_correction,0.0017728734964099768,1357504.438206722,-0.6377364724093944
2025-01-03 00:00:00+00:00,501119.90457967593,412047.14385778335,348827.7905153455,89072.76072189258,2,7,positive_momentum_correction,0.01900375271998178,1357504.438206722,-0.6308521059115941
2025-01-04 00:00:00+00:00,498793.192551623,412047.14385778335,250094.60988422704,86746.04869383965,2,5,positive_momentum_correction,-0.004643024567153264,1357504.438206722,-0.6325660686527594
2025-01-05 00:00:00+00:00,497491.0051997337,447323.4094420302,447323.4094420302,50167.59575770354,1,9,positive_momentum_correction,-0.0026106758699487864,1357504.438206722,-0.6335253195511281
2025-01-06 00:00:00+00:00,499898.90496002766,447323.4094420302,447323.4094420302,52575.4955179975,1,12,positive_momentum_correction,0.004840087026954931,1357504.438206722,-0.6317515502045802
2025-01-07 00:00:00+00:00,471864.25845811004,49879.31925516184,49879.31925516184,421984.9392029482,12,2,positive_momentum_correction,-0.05608063195129287,1357504.438206722,-0.6524031559841912
2025-01-08 00:00:00+00:00,458686.3623500468,67736.46736277603,67736.46736277603,390949.89498727076,12,14,positive_momentum_correction,-0.0279273029729441,1357504.438206722,-0.66211059835946
2025-01-09 00:00:00+00:00,440182.88013580913,38323.688474588336,26489.0855164219,401859.1916612208,22,2,positive_momentum_correction,-0.04034016210867142,1357504.438206722,-0.6757411115964413
2025-01-10 00:00:00+00:00,450736.1474004093,38323.688474588336,38323.68847458833,412412.45892582095,22,7,positive_momentum_correction,0.023974733550164773,1357504.438206722,-0.6679670911456934
2025-01-11 00:00:00+00:00,456181.0124477508,38323.688474588336,38323.68847458832,417857.32397316245,22,12,positive_momentum_correction,0.01207993873742863,1357504.438206722,-0.6639561539479231
2025-01-12 00:00:00+00:00,453833.98063057417,397276.85560424253,205119.04663879654,56557.125026331654,12,6,positive_momentum_correction,-0.005144957271638773,1357504.438206722,-0.6656850851772582
2025-01-13 00:00:00+00:00,460830.0684091014,263008.9243848239,45383.39806305696,197821.1440242775,16,1,positive_momentum_correction,0.015415522144918814,1357504.438206722,-0.6605314462044316
2025-01-14 00:00:00+00:00,463727.40110404766,293154.22407836816,92745.48022080907,170573.17702567947,6,2,positive_momentum_correction,0.00628720409878758,1357504.438206722,-0.6583971381215987
2025-01-15 00:00:00+00:00,482146.5800046427,293154.22407836816,293154.22407836816,188992.35592627458,6,25,positive_momentum_correction,0.03971984156369124,1357504.438206722,-0.644828726570085
2025-01-16 00:00:00+00:00,484586.11472451355,214567.80561317125,214567.80561317125,270018.3091113423,16,15,positive_momentum_correction,0.005059736646576107,1357504.438206722,-0.6430316534621006
2025-01-17 00:00:00+00:00,493222.2284169278,214826.05720693548,214826.05720693548,278396.1712099923,15,21,positive_momentum_correction,0.017821628457769245,1357504.438206722,-0.6366698962189179
2025-01-18 00:00:00+00:00,490319.1565564068,283836.3475600087,283836.3475600087,206482.80899639812,23,13,positive_momentum_correction,-0.005885930708838583,1357504.438206722,-0.6388084320342085
2025-01-19 00:00:00+00:00,461680.89551196917,8008.364035226827,8008.364035226812,453672.53147674236,35,1,positive_momentum_correction,-0.05840738764026465,1357504.438206722,-0.6599046879567815
2025-01-20 00:00:00+00:00,468240.6166014496,8008.364035226827,8008.364035226812,460232.2525662228,35,1,positive_momentum_correction,0.014208344233534342,1357504.438206722,-0.6550724966910602
2025-01-21 00:00:00+00:00,474246.3569946555,82085.36529968423,82085.36529968423,392160.9916949713,25,6,positive_momentum_correction,0.012826184188796663,1357504.438206722,-0.650648393001838
2025-01-22 00:00:00+00:00,465941.1700802487,10005.218207486496,10005.218207486496,455935.9518727622,28,1,positive_momentum_correction,-0.0175123894826259,1357504.438206722,-0.656766374409971
2025-01-23 00:00:00+00:00,464370.0426636584,117052.98334003455,92874.00853273121,347317.05932362383,16,2,positive_momentum_correction,-0.003371943750580586,1357504.438206722,-0.6579237388887684
2025-01-24 00:00:00+00:00,463967.0632296454,382143.1737870357,278460.8338245894,81823.88944260972,4,6,positive_momentum_correction,-0.0008677980855557044,1357504.438206722,-0.6582205920132749
2025-01-25 00:00:00+00:00,463838.97192415735,335706.16952066985,185627.123235259,128132.80240348753,5,4,positive_momentum_correction,-0.00027607844530264103,1357504.438206722,-0.6583149499408683
2025-01-26 00:00:00+00:00,459182.8349517207,335706.16952066985,185108.40246406524,123476.66543105087,5,4,positive_momentum_correction,-0.010038261668961157,1357504.438206722,-0.661744873881734
2025-01-27 00:00:00+00:00,460546.36570171546,219462.98937574614,92109.27314034264,241083.3763259693,6,2,positive_momentum_correction,0.0029694723892239594,1357504.438206722,-0.6607404346242123
2025-01-28 00:00:00+00:00,453748.13609979005,183453.8914253852,91429.4501801501,270294.24467440485,6,2,positive_momentum_correction,-0.01476122733390206,1357504.438206722,-0.6657483221939251
2025-01-29 00:00:00+00:00,459656.4895151532,183453.8914253852,183453.8914253852,276202.598089768,6,8,positive_momentum_correction,0.013021218039921179,1357504.438206722,-0.6613959582170026
