symbol,trades,pnl,mean_return,hit_rate
SFPUSDT,1,-12624.875383154133,-0.214166441600348,0.0
KNCUSDT,3,-12969.370786064545,-0.0446553251561973,0.3333333333333333
BAKEUSDT,7,-13069.703591417521,-0.0574826571784676,0.2857142857142857
SIGNUSDT,1,-13652.610052091564,-0.2837320261016685,0.0
EOSUSDT,25,-13785.675209621946,0.012093934155808781,0.52
JOEUSDT,2,-13803.521194983665,-0.1005712275283191,0.0
GIGGLEUSDT,1,-14080.816824259127,-0.2943334274881858,0.0
SAGAUSDT,4,-14157.039379445372,-0.04152588241841437,0.25
RLCUSDT,2,-14291.607068284655,-0.15356292286254725,0.0
COWUSDT,1,-14440.396406320258,-0.1467981823846552,0.0
WAXPUSDT,1,-14665.431041615346,-0.0815362186872712,0.0
ANCUSDT,4,-14843.143503190813,-0.13558151815907432,0.25
BATUSDT,9,-14893.800765987273,-0.00033965585515201096,0.5555555555555556
NEIROUSDT,5,-15147.596531024195,-0.023576313944534338,0.4
CKBUSDT,4,-15256.429021716342,-0.0668554833815186,0.25
RENDERUSDT,12,-15274.518631976473,-0.016280100615431267,0.4166666666666667
ETHFIUSDT,7,-15699.805544121053,-0.03912633423812779,0.42857142857142855
KEYUSDT,4,-15735.917781041306,-0.11404980664919377,0.25
PEOPLEUSDT,22,-15920.35733854698,0.005715800437646359,0.4090909090909091
FLMUSDT,1,-16004.00281252442,-0.3069277523743298,0.0
IDEXUSDT,1,-16343.879281863485,-0.2084624071708703,0.0
MBOXUSDT,3,-16564.56092124371,-0.02518303851320773,0.3333333333333333
WLDUSDT,16,-16748.13217443032,-0.027673632064032297,0.5
SPKUSDT,2,-16904.958910584515,-0.232016293655857,0.0
KAVAUSDT,21,-17345.5232814406,0.012449449201970955,0.6190476190476191
TRUMPUSDT,4,-17494.649118105553,-0.08559958920612745,0.0
WUSDT,2,-17556.979004084365,-0.126313119029549,0.0
WINGUSDT,1,-17612.21749885536,-0.5411825272862109,0.0
TIAUSDT,11,-18485.887892461426,-0.03090332525074979,0.2727272727272727
APEUSDT,13,-18613.73134829321,0.014270584713435012,0.6153846153846154
RADUSDT,1,-18660.38033259381,-0.2146399559980472,0.0
ACTUSDT,2,-18738.75106491803,-0.1635324142112677,0.0
ANTUSDT,2,-18913.385107376613,-0.1084956254240267,0.0
XLMUSDT,33,-19207.489306260886,-0.002647935415321239,0.5454545454545454
PERPUSDT,1,-19768.256614628677,-0.3836778550606184,0.0
JTOUSDT,6,-19771.332455592088,-0.02016842380338787,0.5
MASKUSDT,10,-19988.547812119446,-0.04461738442989946,0.2
MBLUSDT,2,-20166.954842342497,-0.14551667797041135,0.0
BERAUSDT,3,-20291.58511311318,-0.11779436970265493,0.0
TNSRUSDT,3,-20519.034560833243,0.059687772769203486,0.3333333333333333
WIFUSDT,13,-21252.616988763388,-0.03939739929379342,0.38461538461538464
RAYUSDT,7,-21258.575156246712,0.006547293645751474,0.42857142857142855
MKRUSDT,11,-21432.879410330042,0.002589876995490285,0.6363636363636364
