date,none,C > SMA(50),"C > SMA(50), 3d",C > EMA(120),"C > EMA(120), 3d"
2023-09-23 00:00:00+00:00,618720.432498819,1691969.1815106315,1457085.6894229418,1096365.9560454316,1112346.83621466
2023-09-24 00:00:00+00:00,614343.0836996094,1679302.6860170045,1457085.6894229418,1096365.9560454316,1112346.83621466
2023-09-25 00:00:00+00:00,627444.1496287582,1678434.5469314705,1457085.6894229418,1096365.9560454316,1112346.83621466
2023-09-26 00:00:00+00:00,633295.3438702851,1678434.5469314705,1457085.6894229418,1096365.9560454316,1112346.83621466
2023-09-27 00:00:00+00:00,644899.138252639,1678434.5469314705,1457085.6894229418,1096365.9560454316,1112346.83621466
2023-09-28 00:00:00+00:00,649003.1277408395,1678434.5469314705,1457085.6894229418,1096365.9560454316,1112346.83621466
2023-09-29 00:00:00+00:00,642367.240847124,1680404.2915981263,1457085.6894229418,1096365.9560454316,1112346.83621466
2023-09-30 00:00:00+00:00,642333.1153421612,1690026.471946241,1457085.6894229418,1096365.9560454316,1112346.83621466
2023-10-01 00:00:00+00:00,653525.865642631,1710453.3201226662,1466550.0421149097,1096365.9560454316,1112346.83621466
2023-10-02 00:00:00+00:00,649587.1880809452,1697893.8734315278,1450203.7577675781,1091607.8851034532,1112346.83621466
2023-10-03 00:00:00+00:00,626557.5884684733,1630056.7411258013,1431706.4537479565,1061543.817428005,1112346.83621466
2023-10-04 00:00:00+00:00,613357.5908919058,1596845.9652756518,1396250.6961394262,1042373.6975999263,1084479.560352044
2023-10-05 00:00:00+00:00,604657.7054475737,1632430.6326959147,1435771.762505308,1067213.1333885523,1075731.4720172235
2023-10-06 00:00:00+00:00,611646.9892808846,1629676.5902472436,1420440.1271461565,1054377.7578529364,1083696.7498992363
2023-10-07 00:00:00+00:00,607641.3229525082,1629964.8327256427,1416604.701181484,1055880.710001014,1073022.0165325715
2023-10-08 00:00:00+00:00,604271.0708617296,1624243.2676476245,1410822.2651254274,1054548.1583266472,1066181.9697875457
2023-10-09 00:00:00+00:00,599611.9895932202,1608106.4755115777,1398858.667351102,1044235.7957609604,1060435.5406925066
2023-10-10 00:00:00+00:00,594552.7243501504,1593095.7664699336,1384732.791165327,1037527.4031172087,1058321.3894989414
2023-10-11 00:00:00+00:00,600474.6341616042,1606326.1256223237,1396711.4099751567,1042654.3790447805,1068498.5455496549
2023-10-12 00:00:00+00:00,600214.0383689173,1595967.6705172309,1392422.8017343073,1025192.551099048,1068438.739491776
2023-10-13 00:00:00+00:00,600540.6606722166,1591692.3548541758,1387626.04261825,1028224.3568586232,1061586.0961483065
2023-10-14 00:00:00+00:00,606940.8642522881,1604483.128126939,1400805.6356058733,1032067.067697854,1073873.8352559637
2023-10-15 00:00:00+00:00,618562.4331044813,1631990.611334116,1426185.7531601824,1039957.8511451187,1090170.3372247692
2023-10-16 00:00:00+00:00,620747.3282574505,1629638.9201452942,1427957.2107805877,1039575.9409155262,1089526.302739006
2023-10-17 00:00:00+00:00,594099.2293248471,1559152.0607242053,1366378.8986992622,1021876.3647139788,1089526.302739006
2023-10-18 00:00:00+00:00,563656.9274313193,1471453.8252377938,1289800.195178989,950742.2652301375,1089526.302739006
2023-10-19 00:00:00+00:00,541698.0865885844,1411273.4729574998,1236681.8945710822,917767.6247310182,1090164.757807075
2023-10-20 00:00:00+00:00,540395.6167248155,1410362.011467638,1235693.2380978032,945071.7310137335,1090276.1493773712
2023-10-21 00:00:00+00:00,545890.4054519027,1425645.8710440614,1248999.0672320183,948958.6900892274,1099767.2771864159
2023-10-22 00:00:00+00:00,545965.4895655133,1423576.848120924,1247337.0502104138,946665.041017795,1100385.8482863782
2023-10-23 00:00:00+00:00,556985.3455770661,1453194.5667934148,1273071.423180526,954225.4967052295,1155594.5549648784
2023-10-24 00:00:00+00:00,556144.2521835136,1450884.1304803034,1271078.1347902203,955674.592668546,1148222.4698216133
2023-10-25 00:00:00+00:00,563706.2469713279,1470647.8854289576,1288367.6012759092,962939.0961114825,1166315.2143899454
2023-10-26 00:00:00+00:00,563769.4539348873,1470825.7461875337,1288521.5852956898,969307.0185997009,1174041.1371753789
2023-10-27 00:00:00+00:00,559233.8223437457,1459013.6321218752,1278156.7057384048,949316.8299105824,1151633.7916083531
2023-10-28 00:00:00+00:00,564920.4558719439,1473854.0958564498,1291150.5943768902,952794.1157449632,1152872.4315980314
2023-10-29 00:00:00+00:00,571385.3141753174,1490827.5814451966,1305993.344682532,966102.6760451151,1159761.6794498991
2023-10-30 00:00:00+00:00,575561.4869374105,1501820.9368279679,1315601.1193446424,993818.686631137,1164975.7478258896
2023-10-31 00:00:00+00:00,576419.5366946553,1504050.963655506,1317557.4302025628,998758.5652172507,1170029.1051050415
2023-11-01 00:00:00+00:00,589405.6073602256,1537854.3529747021,1347196.708944725,1022551.8096762343,1200314.6198608917
2023-11-02 00:00:00+00:00,577164.4706428634,1505832.8411138863,1319178.7142553767,1002126.5357363555,1181585.0807235583
2023-11-03 00:00:00+00:00,587091.948023572,1531591.5123185343,1341790.2354727923,1029424.4089855873,1223464.3711503842
2023-11-04 00:00:00+00:00,606756.629462843,1582725.787959265,1386638.50992175,1080104.1865140265,1302785.2672783725
2023-11-05 00:00:00+00:00,603319.3087320911,1573784.573573392,1378798.565198219,1071454.7252648375,1287117.746624409
2023-11-06 00:00:00+00:00,606094.4864889712,1581010.0738725245,1385133.683984899,1075086.8355063521,1296089.829118566
2023-11-07 00:00:00+00:00,607717.2090427696,1585258.4691506329,1388849.5009347992,1080752.8869033603,1302101.1465534312
2023-11-08 00:00:00+00:00,611135.6656354093,1594147.594575941,1396646.677501292,1087109.3126048057,1312701.8638084645
2023-11-09 00:00:00+00:00,620935.1374391506,1619778.0234195082,1419078.747551129,1109438.5663872864,1335612.9647005645
2023-11-10 00:00:00+00:00,650652.451504454,1697428.6753540717,1487064.537741204,1171317.6763562844,1394018.2856798498
2023-11-11 00:00:00+00:00,624462.9936378556,1629019.9202222792,1427162.4017981149,1143444.7115675493,1354661.196970366
2023-11-12 00:00:00+00:00,628690.1559094908,1640085.6787605183,1436844.059295036,1150522.0347863096,1361533.344615493
2023-11-13 00:00:00+00:00,584049.7154705506,1523569.1416289976,1334787.028573171,1078279.9539062914,1271491.0880350273
2023-11-14 00:00:00+00:00,602654.4202698345,1572028.7677736902,1377266.6644269922,1111387.511000276,1314654.1828655596
2023-11-15 00:00:00+00:00,631808.7723593022,1647961.610185581,1443831.1020434366,1168947.4859957458,1384132.3615551013
