symbol,signal_date,entry_date,target_exit_date,entry_price,quantity,entry_cost,entry_fee,reserved,momentum,sigma,correction_sigma,volume_rank,exit_date,exit_price,exit_fee,pnl,return_on_reserved,holding_days_actual,exit_reason,mode
CRVUSDT,2025-04-05 00:00:00+00:00,2025-04-06 00:00:00+00:00,2025-04-11 00:00:00+00:00,0.46465184516399377,148145.95601907093,68905.12810966303,68.83629181784518,68905.12810966301,0.6470418859469341,0.0642789486909812,1.0,33.0,2025-04-11 00:00:00+00:00,0.5589204000000001,82.80179699656155,13813.867089901963,0.20047661863304417,5,scheduled,full
DOGEUSDT,2025-04-05 00:00:00+00:00,2025-04-06 00:00:00+00:00,2025-04-11 00:00:00+00:00,0.16233890705119522,19018.62764208666,3090.5506882550285,3.0874632250299983,3090.550688255028,0.026797617290793458,0.040094195882022204,1.0,6.0,2025-04-11 00:00:00+00:00,0.15348322,2.9190402104884683,-174.42951797704882,-0.05643962373434955,5,scheduled,full
LAYERUSDT,2025-04-07 00:00:00+00:00,2025-04-08 00:00:00+00:00,2025-04-13 00:00:00+00:00,1.3755605791741823,47973.832492006666,66056.9037207178,65.9909128079099,66056.9037207178,1.1564687312618633,0.0782355164588484,1.0,31.0,2025-04-13 00:00:00+00:00,1.84037935,88.29005065864811,22144.856887271657,0.3352390990182944,5,scheduled,full
OMUSDT,2025-04-09 00:00:00+00:00,2025-04-10 00:00:00+00:00,2025-04-15 00:00:00+00:00,6.500297918557958,10725.374735466698,69787.84919977699,69.71813106870829,69787.84919977699,0.1360619310250767,0.044677465034240256,1.0,42.0,2025-04-15 00:00:00+00:00,0.59660155,6.398775191510272,-63395.47278345823,-0.9084027307100447,5,scheduled,full
ORCAUSDT,2025-04-11 00:00:00+00:00,2025-04-13 00:00:00+00:00,2025-04-18 00:00:00+00:00,2.786045872138948,24706.61790070808,68902.60458759876,68.83377081678198,68902.60458759875,0.20657167951329522,0.13571100684111115,1.0,37.0,2025-04-18 00:00:00+00:00,2.8915535,71.4405074639551,2466.4623688923893,0.03579635898606232,5,scheduled,full
BCHUSDT,2025-04-12 00:00:00+00:00,2025-04-14 00:00:00+00:00,2025-04-19 00:00:00+00:00,327.29566601999136,88.47823388286562,28987.501029452036,28.958542486965072,28987.501029452033,0.2486765042360108,0.05181053371658101,1.0,50.0,2025-04-19 00:00:00+00:00,334.93245,29.6342316460612,617.0963849631007,0.021288360950332187,5,scheduled,full
TRXUSDT,2025-04-15 00:00:00+00:00,2025-04-17 00:00:00+00:00,2025-04-22 00:00:00+00:00,0.24603811405647902,261186.7294350355,64326.15221710277,64.26189032677598,64326.15221710276,0.986759798044579,0.01797246140483432,1.0,9.0,2025-04-22 00:00:00+00:00,0.24627680000000002,64.32423192772636,-66.24452130414284,-0.0010298225375048942,5,scheduled,full
FUNUSDT,2025-04-16 00:00:00+00:00,2025-04-19 00:00:00+00:00,2025-04-24 00:00:00+00:00,0.006762729864616969,9341101.986238321,63234.520720137545,63.171349370766784,63234.520720137545,1.3103807917250512,0.21418258785902558,1.0,49.0,2025-04-24 00:00:00+00:00,0.006232882,58.221986430189084,-5070.756276378648,-0.0801896846632353,5,scheduled,full
LAYERUSDT,2025-04-19 00:00:00+00:00,2025-04-22 00:00:00+00:00,2025-04-27 00:00:00+00:00,1.9457909289570499,32224.127824278035,62764.11702964671,62.701415614032676,62764.1170296467,0.9863345356396916,0.08097201130944351,1.0,28.0,2025-04-27 00:00:00+00:00,2.5625181,82.57491080642609,19728.218865972965,0.314323212045735,5,scheduled,full
PAXGUSDT,2025-04-21 00:00:00+00:00,2025-04-22 00:00:00+00:00,2025-04-27 00:00:00+00:00,3400.7556479960176,18.396694240626573,62625.224505109894,62.56266184326663,62625.22450510989,1.254971683373482,0.01784880041504994,1.0,50.0,2025-04-27 00:00:00+00:00,3311.3435000000004,60.91777389518625,-1768.36838381883,-0.02823731807419773,5,scheduled,full
BONKUSDT,2025-04-22 00:00:00+00:00,2025-04-24 00:00:00+00:00,2025-04-29 00:00:00+00:00,1.396409070526707e-05,2086539776.5751183,29165.767330942883,29.13663070024264,29165.76733094288,0.8245089390108152,0.08743446538605747,1.0,37.0,2025-04-29 00:00:00+00:00,2.0779605e-05,43.35747237401922,14148.347570702314,0.48510116021161176,5,scheduled,full
APTUSDT,2025-04-26 00:00:00+00:00,2025-04-27 00:00:00+00:00,2025-05-02 00:00:00+00:00,5.442436317026831,4515.827864411112,24601.682676283468,24.577105570712757,24601.682676283464,1.770160430305445,0.03246065947780227,1.0,37.0,2025-05-02 00:00:00+00:00,5.5022475,24.847202577386383,220.67269852552636,0.008969821350401346,5,scheduled,full
RENDERUSDT,2025-04-26 00:00:00+00:00,2025-04-27 00:00:00+00:00,2025-05-02 00:00:00+00:00,4.247927428566612,6046.919328034572,25712.561346359533,25.686874471887645,25712.56134635953,1.8500912826180256,0.05809054236159015,1.0,33.0,2025-05-02 00:00:00+00:00,4.621688,27.946974495345444,2206.4661744905643,0.08581277239433648,5,scheduled,full
WIFUSDT,2025-04-26 00:00:00+00:00,2025-04-28 00:00:00+00:00,2025-05-03 00:00:00+00:00,0.6025940423637931,43537.721137363485,26261.806946846897,26.235571375471423,26261.806946846893,1.8896110521108398,0.07880082183127736,1.0,20.0,2025-05-03 00:00:00+00:00,0.6446775,28.06778921853265,1777.9144824672185,0.06769962501307179,5,scheduled,full
PENGUUSDT,2025-04-27 00:00:00+00:00,2025-04-28 00:00:00+00:00,2025-05-03 00:00:00+00:00,0.011340278462239181,5767526.323412509,65470.7599003382,65.4053545457924,65470.75990033819,2.144709843618624,0.1163073003765171,1.0,49.0,2025-05-03 00:00:00+00:00,0.011843075500000001,68.30524969641176,2766.1845463771533,0.042250686422273594,5,scheduled,full
TAOUSDT,2025-04-27 00:00:00+00:00,2025-04-30 00:00:00+00:00,2025-05-05 00:00:00+00:00,340.6847748344993,191.98202965649276,65470.7599003382,65.4053545457924,65470.75990033819,2.23845399392564,0.05653432095066024,1.0,21.0,2025-05-05 00:00:00+00:00,343.92795000000007,66.02798589659677,491.19801036197896,0.0075025555088973645,5,scheduled,full
PEPEUSDT,2025-04-28 00:00:00+00:00,2025-04-30 00:00:00+00:00,2025-05-05 00:00:00+00:00,8.532705634213848e-06,7163191084.636509,61182.52232775518,61.12140092682835,61182.52232775517,1.7971012653301055,0.048863725365555215,1.0,7.0,2025-05-05 00:00:00+00:00,8.085955e-06,57.921240766772,-3319.202801749947,-0.05425083300699759,5,scheduled,full
WLDUSDT,2025-04-28 00:00:00+00:00,2025-04-30 00:00:00+00:00,2025-05-05 00:00:00+00:00,1.0581568221464976,62876.85145233577,66600.10288870039,66.53356931938102,66600.10288870039,2.0792821759022124,0.06480373762446305,1.0,28.0,2025-05-05 00:00:00+00:00,0.9225385,58.00631622356067,-8651.792981363287,-0.12990660083246178,5,scheduled,full
BONKUSDT,2025-04-29 00:00:00+00:00,2025-04-30 00:00:00+00:00,2025-05-05 00:00:00+00:00,1.8375447374077436e-05,2149630808.6840906,39539.9282264687,39.500427798670025,39539.9282264687,1.433226676888714,0.09318096027503264,1.0,25.0,2025-05-05 00:00:00+00:00,1.641179e-05,35.27928940965347,-4295.918106224883,-0.10864759494806372,5,scheduled,full
SUIUSDT,2025-04-29 00:00:00+00:00,2025-04-30 00:00:00+00:00,2025-05-05 00:00:00+00:00,3.320177604142106,13918.962205281647,46259.64001346341,46.21342658687654,46259.64001346341,1.6767999615685099,0.06181769304901912,1.0,5.0,2025-05-05 00:00:00+00:00,3.2731626,45.55902652114141,-746.1725188431446,-0.016130097826657936,5,scheduled,full
FETUSDT,2025-04-30 00:00:00+00:00,2025-05-03 00:00:00+00:00,2025-05-08 00:00:00+00:00,0.699280258637762,81010.90448871725,56705.975569592585,56.649326243349236,56705.97556959257,2.2869850877537288,0.055246316813089946,1.0,35.0,2025-05-08 00:00:00+00:00,0.6756620000000001,54.73598974865568,-2024.721810685558,-0.035705616389593936,5,scheduled,full
LAYERUSDT,2025-04-30 00:00:00+00:00,2025-05-03 00:00:00+00:00,2025-05-08 00:00:00+00:00,2.856798311894277,16045.514872452692,45884.63860089846,45.838799801097366,45884.638600898455,1.8505542525838226,0.0620572999479818,1.0,30.0,2025-05-08 00:00:00+00:00,1.3125434,21.06043464543962,-24845.26439010428,-0.5414723782877913,5,scheduled,full
FLOKIUSDT,2025-05-02 00:00:00+00:00,2025-05-03 00:00:00+00:00,2025-05-08 00:00:00+00:00,8.126135087746083e-05,459102101.0097398,37344.56417565067,37.30725691873193,37344.56417565066,1.4436413753293391,0.05632788362686591,1.0,48.0,2025-05-08 00:00:00+00:00,7.6471745e-05,35.108338797381066,-2271.3337170669765,-0.06082099944676628,5,scheduled,full
SEIUSDT,2025-05-02 00:00:00+00:00,2025-05-03 00:00:00+00:00,2025-05-08 00:00:00+00:00,0.21261447257029525,139295.1601183584,29645.78316715976,29.6161670001596,29645.783167159752,1.1460270089872646,0.03596353950960685,1.0,43.0,2025-05-08 00:00:00+00:00,0.1985007,27.65018679010623,-2023.246563843637,-0.06824736430255272,5,scheduled,full
TURBOUSDT,2025-05-02 00:00:00+00:00,2025-05-03 00:00:00+00:00,2025-05-08 00:00:00+00:00,0.004809855245650254,8569058.369495614,41257.14627915049,41.21593034880169,41257.14627915048,1.5948913774024196,0.13716724508487804,1.0,46.0,2025-05-08 00:00:00+00:00,0.005389304,46.18126054695619,4877.933007258747,0.11823243843028078,5,scheduled,full
AAVEUSDT,2025-05-03 00:00:00+00:00,2025-05-04 00:00:00+00:00,2025-05-09 00:00:00+00:00,172.34057291332155,228.45795368792744,39411.94719980768,39.372574625182494,39411.94719980768,1.6872743683021894,0.032647978019355976,1.0,25.0,2025-05-09 00:00:00+00:00,206.16686500000003,47.1004600961552,7641.4124362513685,0.19388568642679643,5,scheduled,full
BTCUSDT,2025-05-03 00:00:00+00:00,2025-05-04 00:00:00+00:00,2025-05-09 00:00:00+00:00,94213.11082971765,0.4320488537120898,40745.371205168216,40.70466653862959,40745.37120516821,1.7443599046984888,0.0172920942241923,1.0,1.0,2025-05-09 00:00:00+00:00,103209.979195,44.591753202848395,3801.790244477328,0.09330606476337865,5,scheduled,full
